date,home_team,away_team,ou_line,over_odds,under_odds,odds_line_type
2024-02-22,San Diego Padres,Los Angeles Dodgers,10.0,-115,-105,currentLine_median
2024-02-23,Chicago Cubs,Chicago White Sox,10.25,-110,-110,currentLine_median
2024-02-24,Baltimore Orioles,Boston Red Sox,10.5,-115,-105,currentLine_median
2024-02-24,Chicago White Sox,Seattle Mariners,10.5,-110,-110,currentLine_median
2024-02-24,Cleveland Guardians,Cincinnati Reds,10.5,-110,-110,currentLine_median
2024-02-24,Detroit Tigers,New York Yankees,8.5,-102,-118,currentLine_median
2024-02-24,Kansas City Royals,Texas Rangers,10.5,-105,-115,currentLine_median
2024-02-24,Los Angeles Angels,Los Angeles Dodgers,10.5,-110,-110,currentLine_median
2024-02-24,Minnesota Twins,Pittsburgh Pirates,9.5,100,-120,currentLine_median
2024-02-24,San Diego Padres,Milwaukee Brewers,10.5,-110,-110,currentLine_median
2024-02-24,San Francisco Giants,Chicago Cubs,10.5,-102,-118,currentLine_median
2024-02-24,Tampa Bay Rays,Atlanta Braves,8.5,-115,-105,currentLine_median
2024-02-24,Toronto Blue Jays,Philadelphia Phillies,9.5,-120,100,currentLine_median
2024-02-24,Washington Nationals,Houston Astros,9.0,100,-120,currentLine_median
2024-02-25,Arizona Diamondbacks,Chicago White Sox,10.5,-105,-115,currentLine_median
2024-02-25,Chicago Cubs,San Diego Padres,10.5,100,-120,currentLine_median
2024-02-25,Los Angeles Dodgers,Athletics,10.5,-115,-105,currentLine_median
2024-02-25,Miami Marlins,Washington Nationals,8.5,-120,100,currentLine_median
2024-02-25,Milwaukee Brewers,Colorado Rockies,10.0,-110,-110,currentLine_median
2024-02-25,Pittsburgh Pirates,Baltimore Orioles,9.0,-110,-110,currentLine_median
2024-02-25,Seattle Mariners,Cleveland Guardians,10.0,-110,-110,currentLine_median
2024-02-25,Tampa Bay Rays,Detroit Tigers,9.0,-110,-110,currentLine_median
2024-02-25,Texas Rangers,San Francisco Giants,10.5,100,-120,currentLine_median
2024-02-26,Athletics,Arizona Diamondbacks,11.0,-110,-110,currentLine_median
2024-02-26,Boston Red Sox,Philadelphia Phillies,9.0,-110,-110,currentLine_median
2024-02-26,Chicago White Sox,Texas Rangers,9.5,-110,-110,currentLine_median
2024-02-26,Colorado Rockies,Los Angeles Dodgers,11.0,-115,-105,currentLine_median
2024-02-26,Detroit Tigers,Houston Astros,9.0,-105,-115,currentLine_median
2024-02-26,Kansas City Royals,Chicago Cubs,10.5,-110,-110,currentLine_median
2024-02-26,Miami Marlins,St. Louis Cardinals,9.0,-105,-115,currentLine_median
2024-02-26,New York Yankees,Minnesota Twins,9.0,-120,100,currentLine_median
2024-02-26,San Diego Padres,Cleveland Guardians,10.0,-110,-110,currentLine_median
2024-02-26,San Francisco Giants,Los Angeles Angels,11.0,-110,-110,currentLine_median
2024-02-26,Toronto Blue Jays,Pittsburgh Pirates,8.5,-115,-105,currentLine_median
2024-02-26,Washington Nationals,New York Mets,9.0,-120,100,currentLine_median
2024-02-27,Arizona Diamondbacks,Texas Rangers,10.25,-110,-110,currentLine_median
2024-02-27,Chicago Cubs,Cincinnati Reds,10.5,-110,-110,currentLine_median
2024-02-27,Cleveland Guardians,Athletics,10.0,-110,-110,currentLine_median
2024-02-27,Houston Astros,Washington Nationals,9.5,100,-120,currentLine_median
2024-02-27,Los Angeles Angels,Milwaukee Brewers,10.5,-115,-105,currentLine_median
2024-02-27,New York Mets,Miami Marlins,9.0,-110,-110,currentLine_median
2024-02-27,Pittsburgh Pirates,Atlanta Braves,9.0,-110,-110,currentLine_median
2024-02-27,San Francisco Giants,Seattle Mariners,10.0,-105,-115,currentLine_median
2024-02-27,St. Louis Cardinals,Boston Red Sox,8.5,-110,-110,currentLine_median
2024-02-27,Tampa Bay Rays,New York Yankees,8.5,-110,-110,currentLine_median
2024-02-28,Athletics,San Francisco Giants,10.5,-105,-115,currentLine_median
2024-02-28,Chicago White Sox,San Diego Padres,10.0,-105,-115,currentLine_median
2024-02-28,Cleveland Guardians,Arizona Diamondbacks,10.5,-107,-112,currentLine_median
2024-02-28,Colorado Rockies,Los Angeles Angels,11.0,-105,-115,currentLine_median
2024-02-28,Milwaukee Brewers,Chicago Cubs,10.5,-105,-115,currentLine_median
2024-02-28,Minnesota Twins,Baltimore Orioles,9.5,-110,-110,currentLine_median
2024-02-28,New York Mets,St. Louis Cardinals,10.5,-116,-103,currentLine_median
2024-02-28,Philadelphia Phillies,Atlanta Braves,10.5,-116,-103,currentLine_median
2024-02-28,Pittsburgh Pirates,Detroit Tigers,9.5,-110,-110,currentLine_median
2024-02-28,Seattle Mariners,Kansas City Royals,10.0,-110,-110,currentLine_median
2024-02-28,Texas Rangers,Los Angeles Dodgers,10.0,-110,-110,currentLine_median
2024-02-28,Toronto Blue Jays,Tampa Bay Rays,8.5,-120,100,currentLine_median
2024-02-28,Washington Nationals,Boston Red Sox,9.5,-110,-110,currentLine_median
2024-02-29,Athletics,San Diego Padres,10.0,-105,-115,currentLine_median
2024-02-29,Baltimore Orioles,Pittsburgh Pirates,8.5,-110,-110,currentLine_median
2024-02-29,Chicago Cubs,Colorado Rockies,10.5,-116,-103,currentLine_median
2024-02-29,Cincinnati Reds,Los Angeles Dodgers,10.5,-125,105,currentLine_median
2024-02-29,Los Angeles Angels,Cleveland Guardians,10.0,-110,-110,currentLine_median
